Time,Node,Type,Packets
1,l8-123,CacheMisses,1
1,l8-124,CacheHits,0
1,l8-124,CacheMisses,1
1,l8-125,CacheHits,0
1,l8-125,CacheMisses,1
1,l8-126,CacheHits,0
1,l8-126,CacheMisses,1
1,l8-127,CacheHits,0
1,l8-127,CacheMisses,1
1,l8-128,CacheHits,0
1,l8-128,CacheMisses,1
1,l8-129,CacheHits,0
1,l8-129,CacheMisses,1
1,l8-130,CacheHits,0
1,l8-130,CacheMisses,1
1,l8-131,CacheHits,0
1,l8-131,CacheMisses,1
1,l8-132,CacheHits,0
1,l8-132,CacheMisses,1
1,l8-133,CacheHits,0
1,l8-133,CacheMisses,1
1,l8-134,CacheHits,0
1,l8-134,CacheMisses,1
1,l8-135,CacheHits,0
1,l8-135,CacheMisses,1
1,l8-136,CacheHits,0
1,l8-136,CacheMisses,1
1,l8-137,CacheHits,0
1,l8-137,CacheMisses,1
1,l8-138,CacheHits,0
1,l8-138,CacheMisses,1
1,l8-139,CacheHits,0
1,l8-139,CacheMisses,1
1,l8-140,CacheHits,0
1,l8-140,CacheMisses,1
1,l8-141,CacheHits,0
1,l8-141,CacheMisses,1
1,l8-142,CacheHits,0
1,l8-142,CacheMisses,1
1,l8-143,CacheHits,0
1,l8-143,CacheMisses,1
1,l8-144,CacheHits,0
1,l8-144,CacheMisses,1
1,l8-145,CacheHits,0
1,l8-145,CacheMisses,1
1,l8-146,CacheHits,0
1,l8-146,CacheMisses,1
1,l8-147,CacheHits,0
1,l8-147,CacheMisses,1
1,l8-148,CacheHits,0
1,l8-148,CacheMisses,1
1,l8-149,CacheHits,0
1,l8-149,CacheMisses,1
1,l8-150,CacheHits,0
1,l8-150,CacheMisses,1
1,l8-151,CacheHits,0
1,l8-151,CacheMisses,1
1,l8-152,CacheHits,0
1,l8-152,CacheMisses,1
1,l8-153,CacheHits,0
1,l8-153,CacheMisses,1
1,l8-154,CacheHits,0
1,l8-154,CacheMisses,1
1,l8-155,CacheHits,0
1,l8-155,CacheMisses,1
1,l8-156,CacheHits,0
1,l8-156,CacheMisses,1
1,l8-157,CacheHits,0
1,l8-157,CacheMisses,1
1,l8-158,CacheHits,0
1,l8-158,CacheMisses,1
1,l8-159,CacheHits,0
1,l8-159,CacheMisses,1
1,l8-160,CacheHits,0
1,l8-160,CacheMisses,1
1,l8-161,CacheHits,0
1,l8-161,CacheMisses,1
1,l8-162,CacheHits,0
1,l8-162,CacheMisses,1
1,l8-163,CacheHits,0
1,l8-163,CacheMisses,1
1,l8-164,CacheHits,0
1,l8-164,CacheMisses,1
1,l8-165,CacheHits,0
1,l8-165,CacheMisses,1
1,l8-166,CacheHits,0
1,l8-166,CacheMisses,1
1,l8-167,CacheHits,0
1,l8-167,CacheMisses,1
1,l8-168,CacheHits,0
1,l8-168,CacheMisses,1
1,l8-169,CacheHits,0
1,l8-169,CacheMisses,1
1,l8-170,CacheHits,0
1,l8-170,CacheMisses,1
1,l8-171,CacheHits,0
1,l8-171,CacheMisses,1
1,l8-172,CacheHits,0
1,l8-172,CacheMisses,1
1,l8-173,CacheHits,0
1,l8-173,CacheMisses,1
1,l8-174,CacheHits,0
1,l8-174,CacheMisses,1
1,l8-175,CacheHits,0
1,l8-175,CacheMisses,1
1,l8-176,CacheHits,0
1,l8-176,CacheMisses,1
1,l8-177,CacheHits,0
1,l8-177,CacheMisses,1
1,l8-178,CacheHits,0
1,l8-178,CacheMisses,1
1,l8-179,CacheHits,0
1,l8-179,CacheMisses,1
1,l8-180,CacheHits,0
1,l8-180,CacheMisses,1
1,l8-181,CacheHits,0
1,l8-181,CacheMisses,1
1,l8-182,CacheHits,0
1,l8-182,CacheMisses,1
1,l8-183,CacheHits,0
1,l8-183,CacheMisses,1
1,l8-184,CacheHits,0
1,l8-184,CacheMisses,1
1,l8-185,CacheHits,0
1,l8-185,CacheMisses,1
1,l8-186,CacheHits,0
1,l8-186,CacheMisses,1
1,l8-187,CacheHits,0
1,l8-187,CacheMisses,1
1,l8-188,CacheHits,0
1,l8-188,CacheMisses,1
1,l8-189,CacheHits,0
1,l8-189,CacheMisses,1
1,l8-190,CacheHits,0
1,l8-190,CacheMisses,1
1,l8-191,CacheHits,0
1,l8-191,CacheMisses,1
1,l8-192,CacheHits,0
1,l8-192,CacheMisses,1
1,l8-193,CacheHits,0
1,l8-193,CacheMisses,1
1,l8-194,CacheHits,0
1,l8-194,CacheMisses,1
1,l8-195,CacheHits,0
